date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-07-14,218.3,225.33,212.03,220.9,43873308.0,9589876575.0,3795811143.0,0.011558348491839074
2020-07-15,219.0,226.0,217.6,223.95,37169954.0,8289624150.0,3795811143.0,0.009792361263427588
2020-07-16,221.0,221.05,201.56,201.56,70573669.0,14817949982.0,3795811143.0,0.018592513257712412
2020-07-17,195.0,209.7,195.0,205.39,52976677.0,10785868982.0,3795811143.0,0.013956615596562624
2020-07-20,205.5,208.5,191.01,201.68,44290656.0,8808311369.0,3795811143.0,0.011668298113745224
2020-07-21,201.0,208.9,198.8,205.58,31785876.0,6514435743.0,3795811143.0,0.008373935056968665
2020-07-22,204.25,212.87,202.75,208.9,28066323.0,5873887495.0,3795811143.0,0.007394025135248938
2020-07-23,207.3,211.9,205.6,210.07,26541311.0,5547862013.0,3795811143.0,0.0069922633134543175
2020-07-24,208.0,208.95,198.0,201.39,40538626.0,8233915252.0,3795811143.0,0.010679832181524317
2020-07-27,203.39,206.8,201.41,204.1,24634688.0,5038945710.0,3795811143.0,0.006489966721718958
2020-07-28,205.89,216.94,204.67,214.0,38449712.0,8143034020.0,3795811143.0,0.010129511335385212
2020-07-29,214.35,215.48,209.01,214.98,30136414.0,6417584056.0,3795811143.0,0.007939387094001162
2020-07-30,214.0,218.05,213.0,216.32,25322564.0,5483434280.0,3795811143.0,0.0066711864858446145
2020-07-31,216.51,221.01,214.28,217.5,26231782.0,5707639443.0,3795811143.0,0.006910718424011961
2020-08-03,218.18,219.93,215.2,217.72,20145355.0,4369803364.0,3795811143.0,0.005307259566153816
2020-08-04,217.5,219.8,214.0,215.8,20676941.0,4483369687.0,3795811143.0,0.005447304995173728
2020-08-05,215.6,217.76,213.0,217.48,18671238.0,4024536334.0,3795811143.0,0.00491890594568498
2020-08-06,217.48,218.54,209.66,211.02,32304359.0,6855967077.0,3795811143.0,0.008510528522888632
2020-08-07,210.0,213.0,203.18,207.26,28723584.0,5960012764.0,3795811143.0,0.007567179429611575
2020-08-10,207.26,208.88,202.94,205.94,19152100.0,3941811352.0,3795811143.0,0.005045588223038735
2020-08-11,207.0,213.35,207.0,209.0,25009077.0,5285963734.0,3795811143.0,0.006588598868023292
2020-08-12,207.92,209.88,203.04,206.47,18024993.0,3701984355.0,3795811143.0,0.0047486537978162
2020-08-13,208.0,210.0,205.5,206.9,12320969.0,2555092633.0,3795811143.0,0.003245938360953908
2020-08-14,206.3,213.3,206.22,212.9,24431491.0,5144549732.0,3795811143.0,0.006436434817115452
2020-08-17,214.5,222.0,214.5,219.99,31515599.0,6913069145.0,3795811143.0,0.008302731040272938
2020-08-18,219.99,223.0,218.12,220.57,19038249.0,4208955658.0,3795811143.0,0.005015594370417812
2020-08-19,220.47,225.96,217.27,222.2,23847268.0,5300628769.0,3795811143.0,0.0062825222598278255
2020-08-20,220.0,220.92,216.0,216.44,18490663.0,4022580053.0,3795811143.0,0.004871333768567316
2020-08-21,220.0,220.98,216.44,218.4,15731861.0,3438178400.0,3795811143.0,0.004144532066357338
2020-08-24,219.98,226.3,219.19,225.0,23152218.0,5170962344.0,3795811143.0,0.006099412517584255
2020-08-25,226.0,236.75,225.99,235.6,28547871.0,6659413393.0,3795811143.0,0.007520888138137804
2020-08-26,235.4,239.87,232.2,236.65,26209992.0,6176301738.0,3795811143.0,0.00690497788551331
2020-08-27,238.98,238.98,231.14,238.08,21348858.0,5024119736.0,3795811143.0,0.00562432038784918
2020-08-28,235.98,244.86,233.2,240.5,32724152.0,7823482205.0,3795811143.0,0.008621122275892954
2020-08-31,242.0,246.7,240.0,240.0,31571514.0,7691010331.0,3795811143.0,0.008317461752074318
2020-09-01,237.48,239.8,233.1,236.24,30087024.0,7091377403.0,3795811143.0,0.007926375382369755
2020-09-02,235.2,239.78,233.8,235.0,19633125.0,4642766180.0,3795811143.0,0.005172313442465702
2020-09-03,235.4,243.0,235.19,238.64,27569574.0,6599198582.0,3795811143.0,0.007263157454722715
2020-09-04,234.0,234.0,226.27,230.22,37092062.0,8495154315.0,3795811143.0,0.0097718407482951
2020-09-07,229.35,233.45,225.1,226.89,23622659.0,5428172452.0,3795811143.0,0.006223349400183791
2020-09-08,227.14,229.35,217.6,221.93,35708526.0,7906064619.0,3795811143.0,0.009407350538461708
2020-09-09,218.81,220.66,216.0,217.0,22706135.0,4950173118.0,3795811143.0,0.0059818927087226794
2020-09-10,220.0,225.76,219.96,223.2,23154133.0,5168118228.0,3795811143.0,0.006099917021082416
2020-09-11,221.45,227.88,220.18,227.88,20470064.0,4597798171.0,3795811143.0,0.0053928036008191885
2020-09-14,229.08,231.44,224.18,230.08,20749216.0,4747190669.0,3795811143.0,0.00546634572119438
